DATE,PROVINCE,REGION,AGEGROUP,SEX,CASES
2020-03-01,Antwerpen,Flanders,40-49,M,1
2020-03-01,Brussels,Brussels,10-19,M,1
2020-03-01,Brussels,Brussels,10-19,F,1
2020-03-01,Brussels,Brussels,20-29,M,1
2020-03-01,Brussels,Brussels,30-39,F,1
2020-03-01,Brussels,Brussels,40-49,F,1
2020-03-01,Brussels,Brussels,50-59,M,1
2020-03-01,Liège,Wallonia,40-49,M,2
2020-03-01,Limburg,Flanders,70-79,M,1
2020-03-01,OostVlaanderen,Flanders,50-59,F,1
2020-03-01,VlaamsBrabant,Flanders,10-19,F,2
2020-03-01,VlaamsBrabant,Flanders,40-49,M,1
2020-03-01,VlaamsBrabant,Flanders,40-49,F,1
2020-03-01,VlaamsBrabant,Flanders,50-59,M,1
2020-03-01,VlaamsBrabant,Flanders,60-69,M,1
2020-03-02,Antwerpen,Flanders,40-49,M,1
2020-03-02,Brussels,Brussels,10-19,F,1
2020-03-02,Brussels,Brussels,40-49,M,1
2020-03-02,Brussels,Brussels,50-59,F,1
2020-03-02,Brussels,Brussels,70-79,M,1
2020-03-02,Liège,Wallonia,60-69,F,1
2020-03-02,OostVlaanderen,Flanders,20-29,M,1
2020-03-02,VlaamsBrabant,Flanders,10-19,M,3
2020-03-02,VlaamsBrabant,Flanders,40-49,M,1
2020-03-02,VlaamsBrabant,Flanders,40-49,F,3
2020-03-02,VlaamsBrabant,Flanders,50-59,M,1
2020-03-02,WestVlaanderen,Flanders,50-59,M,1
2020-03-02,WestVlaanderen,Flanders,60-69,F,1
2020-03-03,Antwerpen,Flanders,30-39,F,1
2020-03-03,Antwerpen,Flanders,40-49,M,1
2020-03-03,Antwerpen,Flanders,40-49,F,1
2020-03-03,Antwerpen,Flanders,50-59,F,1
2020-03-03,Antwerpen,Flanders,70-79,M,1
2020-03-03,BrabantWallon,Wallonia,10-19,M,1
2020-03-03,BrabantWallon,Wallonia,20-29,M,1
2020-03-03,BrabantWallon,Wallonia,40-49,F,1
2020-03-03,BrabantWallon,Wallonia,60-69,F,1
2020-03-03,Brussels,Brussels,10-19,M,1
2020-03-03,Brussels,Brussels,70-79,F,1
2020-03-03,Hainaut,Wallonia,50-59,M,1
2020-03-03,Liège,Wallonia,10-19,M,1
2020-03-03,Liège,Wallonia,10-19,F,2
2020-03-03,Liège,Wallonia,20-29,M,1
2020-03-03,Liège,Wallonia,40-49,M,2
2020-03-03,Liège,Wallonia,40-49,F,1
2020-03-03,Limburg,Flanders,0-9,F,1
2020-03-03,Limburg,Flanders,20-29,M,1
2020-03-03,Limburg,Flanders,40-49,F,1
2020-03-03,Namur,Wallonia,40-49,F,1
2020-03-03,OostVlaanderen,Flanders,20-29,M,1
2020-03-03,OostVlaanderen,Flanders,70-79,M,1
2020-03-03,OostVlaanderen,Flanders,70-79,F,1
2020-03-03,VlaamsBrabant,Flanders,30-39,F,1
2020-03-03,VlaamsBrabant,Flanders,40-49,M,1
2020-03-03,VlaamsBrabant,Flanders,40-49,F,1
2020-03-03,VlaamsBrabant,Flanders,50-59,M,1
2020-03-03,VlaamsBrabant,Flanders,50-59,F,1
2020-03-03,VlaamsBrabant,Flanders,70-79,M,1
2020-03-03,WestVlaanderen,Flanders,20-29,F,1
2020-03-03,WestVlaanderen,Flanders,30-39,M,1
2020-03-03,WestVlaanderen,Flanders,30-39,F,2
2020-03-04,,,0-9,F,1
2020-03-04,,,10-19,M,2
2020-03-04,,,10-19,F,1
2020-03-04,,,20-29,F,1
2020-03-04,,,40-49,M,1
2020-03-04,Antwerpen,Flanders,0-9,M,1
2020-03-04,Antwerpen,Flanders,20-29,M,1
2020-03-04,Antwerpen,Flanders,30-39,M,1
2020-03-04,Antwerpen,Flanders,40-49,M,1
2020-03-04,Antwerpen,Flanders,50-59,M,1
2020-03-04,Antwerpen,Flanders,50-59,F,1
2020-03-04,BrabantWallon,Wallonia,70-79,F,1
2020-03-04,Brussels,Brussels,40-49,M,1
2020-03-04,Brussels,Brussels,40-49,F,1
2020-03-04,Brussels,Brussels,50-59,F,1
2020-03-04,Brussels,Brussels,70-79,F,1
2020-03-04,Brussels,Brussels,90+,F,1
2020-03-04,Hainaut,Wallonia,10-19,M,2
2020-03-04,Hainaut,Wallonia,10-19,F,2
2020-03-04,Hainaut,Wallonia,30-39,M,1
2020-03-04,Hainaut,Wallonia,60-69,F,1
2020-03-04,Liège,Wallonia,30-39,F,1
2020-03-04,Liège,Wallonia,40-49,M,1
2020-03-04,Liège,Wallonia,40-49,F,1
2020-03-04,Liège,Wallonia,60-69,M,1
2020-03-04,Liège,Wallonia,80-89,F,1
2020-03-04,Limburg,Flanders,0-9,M,1
2020-03-04,Limburg,Flanders,10-19,M,1
2020-03-04,Limburg,Flanders,20-29,F,1
2020-03-04,Limburg,Flanders,30-39,M,1
2020-03-04,Limburg,Flanders,30-39,F,1
2020-03-04,Limburg,Flanders,40-49,F,2
2020-03-04,Limburg,Flanders,50-59,M,1
2020-03-04,Limburg,Flanders,60-69,M,1
2020-03-04,Namur,Wallonia,10-19,M,1
2020-03-04,OostVlaanderen,Flanders,20-29,M,1
2020-03-04,OostVlaanderen,Flanders,20-29,F,1
2020-03-04,OostVlaanderen,Flanders,60-69,F,1
2020-03-04,VlaamsBrabant,Flanders,10-19,M,1
2020-03-04,VlaamsBrabant,Flanders,10-19,F,2
2020-03-04,VlaamsBrabant,Flanders,20-29,F,1
2020-03-04,VlaamsBrabant,Flanders,40-49,M,2
2020-03-04,VlaamsBrabant,Flanders,50-59,M,1
2020-03-04,VlaamsBrabant,Flanders,50-59,F,2
2020-03-04,VlaamsBrabant,Flanders,60-69,M,1
2020-03-04,VlaamsBrabant,Flanders,60-69,F,1
2020-03-04,VlaamsBrabant,Flanders,,M,1
2020-03-04,WestVlaanderen,Flanders,60-69,M,1
2020-03-05,Antwerpen,Flanders,0-9,F,1
2020-03-05,Antwerpen,Flanders,10-19,F,1
2020-03-05,Antwerpen,Flanders,20-29,M,1
2020-03-05,Antwerpen,Flanders,20-29,F,1
2020-03-05,Antwerpen,Flanders,30-39,F,1
2020-03-05,Antwerpen,Flanders,50-59,M,4
2020-03-05,Antwerpen,Flanders,50-59,F,1
2020-03-05,Antwerpen,Flanders,70-79,M,1
2020-03-05,BrabantWallon,Wallonia,40-49,F,1
2020-03-05,BrabantWallon,Wallonia,50-59,F,1
2020-03-05,BrabantWallon,Wallonia,60-69,M,1
2020-03-05,Brussels,Brussels,20-29,M,1
2020-03-05,Brussels,Brussels,40-49,M,1
2020-03-05,Hainaut,Wallonia,10-19,F,1
2020-03-05,Hainaut,Wallonia,30-39,M,1
2020-03-05,Hainaut,Wallonia,40-49,F,5
2020-03-05,Hainaut,Wallonia,50-59,M,2
2020-03-05,Hainaut,Wallonia,50-59,F,1
2020-03-05,Liège,Wallonia,0-9,M,1
2020-03-05,Liège,Wallonia,30-39,M,1
2020-03-05,Liège,Wallonia,30-39,F,3
2020-03-05,Liège,Wallonia,50-59,M,1
2020-03-05,Limburg,Flanders,0-9,F,1
2020-03-05,Limburg,Flanders,10-19,F,1
2020-03-05,Limburg,Flanders,30-39,M,1
2020-03-05,Limburg,Flanders,40-49,M,3
2020-03-05,Limburg,Flanders,50-59,M,1
2020-03-05,Limburg,Flanders,50-59,F,1
2020-03-05,Namur,Wallonia,60-69,M,1
2020-03-05,OostVlaanderen,Flanders,10-19,F,1
2020-03-05,OostVlaanderen,Flanders,20-29,F,1
2020-03-05,OostVlaanderen,Flanders,30-39,M,1
2020-03-05,OostVlaanderen,Flanders,40-49,M,1
2020-03-05,OostVlaanderen,Flanders,40-49,F,2
2020-03-05,OostVlaanderen,Flanders,50-59,M,2
2020-03-05,OostVlaanderen,Flanders,70-79,M,1
2020-03-05,VlaamsBrabant,Flanders,10-19,M,1
2020-03-05,VlaamsBrabant,Flanders,20-29,M,3
2020-03-05,VlaamsBrabant,Flanders,20-29,F,3
2020-03-05,VlaamsBrabant,Flanders,30-39,M,1
2020-03-05,VlaamsBrabant,Flanders,40-49,M,3
2020-03-05,VlaamsBrabant,Flanders,40-49,F,2
2020-03-05,VlaamsBrabant,Flanders,50-59,M,3
2020-03-05,VlaamsBrabant,Flanders,70-79,M,1
2020-03-05,WestVlaanderen,Flanders,20-29,M,3
2020-03-05,WestVlaanderen,Flanders,20-29,F,4
2020-03-05,WestVlaanderen,Flanders,30-39,F,1
2020-03-05,WestVlaanderen,Flanders,50-59,M,1
2020-03-05,WestVlaanderen,Flanders,50-59,F,2
2020-03-05,WestVlaanderen,Flanders,60-69,M,2
2020-03-05,WestVlaanderen,Flanders,60-69,F,1
2020-03-06,,,40-49,F,1
2020-03-06,Antwerpen,Flanders,10-19,M,2
2020-03-06,Antwerpen,Flanders,10-19,F,1
2020-03-06,Antwerpen,Flanders,20-29,M,1
2020-03-06,Antwerpen,Flanders,30-39,M,1
2020-03-06,Antwerpen,Flanders,30-39,F,2
2020-03-06,Antwerpen,Flanders,40-49,M,2
2020-03-06,Antwerpen,Flanders,50-59,M,1
2020-03-06,Antwerpen,Flanders,50-59,F,1
2020-03-06,BrabantWallon,Wallonia,10-19,F,1
2020-03-06,BrabantWallon,Wallonia,40-49,M,1
2020-03-06,BrabantWallon,Wallonia,50-59,M,2
2020-03-06,BrabantWallon,Wallonia,70-79,M,1
2020-03-06,Brussels,Brussels,20-29,M,2
2020-03-06,Brussels,Brussels,30-39,F,2
2020-03-06,Brussels,Brussels,40-49,M,2
2020-03-06,Brussels,Brussels,50-59,M,1
2020-03-06,Brussels,Brussels,50-59,F,2
2020-03-06,Hainaut,Wallonia,10-19,M,1
2020-03-06,Hainaut,Wallonia,20-29,F,1
2020-03-06,Hainaut,Wallonia,30-39,F,1
2020-03-06,Hainaut,Wallonia,50-59,M,1
2020-03-06,Liège,Wallonia,20-29,M,1
2020-03-06,Liège,Wallonia,20-29,F,1
2020-03-06,Liège,Wallonia,30-39,M,1
2020-03-06,Liège,Wallonia,40-49,M,3
2020-03-06,Liège,Wallonia,40-49,F,1
2020-03-06,Liège,Wallonia,50-59,F,1
2020-03-06,Limburg,Flanders,20-29,F,2
2020-03-06,Limburg,Flanders,30-39,M,2
2020-03-06,Limburg,Flanders,30-39,F,1
2020-03-06,Limburg,Flanders,40-49,M,5
2020-03-06,Limburg,Flanders,40-49,F,4
2020-03-06,Limburg,Flanders,60-69,M,1
2020-03-06,Limburg,Flanders,60-69,F,1
2020-03-06,Limburg,Flanders,80-89,F,1
2020-03-06,Luxembourg,Wallonia,70-79,F,1
2020-03-06,Namur,Wallonia,50-59,M,2
2020-03-06,Namur,Wallonia,50-59,F,1
2020-03-06,Namur,Wallonia,60-69,F,1
2020-03-06,Namur,Wallonia,90+,F,1
2020-03-06,OostVlaanderen,Flanders,0-9,M,1
2020-03-06,OostVlaanderen,Flanders,20-29,M,2
2020-03-06,OostVlaanderen,Flanders,30-39,M,1
2020-03-06,OostVlaanderen,Flanders,40-49,M,2
2020-03-06,OostVlaanderen,Flanders,40-49,F,2
2020-03-06,OostVlaanderen,Flanders,50-59,M,3
2020-03-06,OostVlaanderen,Flanders,50-59,F,2
2020-03-06,OostVlaanderen,Flanders,60-69,M,1
2020-03-06,OostVlaanderen,Flanders,60-69,F,1
2020-03-06,OostVlaanderen,Flanders,70-79,M,1
2020-03-06,VlaamsBrabant,Flanders,10-19,M,4
2020-03-06,VlaamsBrabant,Flanders,10-19,F,1
2020-03-06,VlaamsBrabant,Flanders,40-49,M,2
2020-03-06,VlaamsBrabant,Flanders,40-49,F,3
2020-03-06,VlaamsBrabant,Flanders,50-59,F,2
2020-03-06,VlaamsBrabant,Flanders,70-79,M,2
2020-03-06,VlaamsBrabant,Flanders,70-79,F,2
2020-03-06,WestVlaanderen,Flanders,0-9,M,1
2020-03-06,WestVlaanderen,Flanders,10-19,F,2
2020-03-06,WestVlaanderen,Flanders,20-29,M,2
2020-03-06,WestVlaanderen,Flanders,30-39,M,1
2020-03-06,WestVlaanderen,Flanders,30-39,F,1
2020-03-06,WestVlaanderen,Flanders,40-49,M,1
2020-03-06,WestVlaanderen,Flanders,40-49,F,3
2020-03-06,WestVlaanderen,Flanders,50-59,M,1
2020-03-06,WestVlaanderen,Flanders,50-59,F,1
2020-03-06,WestVlaanderen,Flanders,60-69,M,1
2020-03-06,WestVlaanderen,Flanders,70-79,M,1
2020-03-06,WestVlaanderen,Flanders,80-89,M,1
2020-03-06,WestVlaanderen,Flanders,80-89,F,1
2020-03-07,Antwerpen,Flanders,30-39,F,1
2020-03-07,Antwerpen,Flanders,40-49,M,1
2020-03-07,Antwerpen,Flanders,40-49,F,1
2020-03-07,Antwerpen,Flanders,50-59,M,2
2020-03-07,Antwerpen,Flanders,60-69,M,1
2020-03-07,Antwerpen,Flanders,70-79,M,1
2020-03-07,Antwerpen,Flanders,80-89,M,1
2020-03-07,BrabantWallon,Wallonia,70-79,M,1
2020-03-07,Brussels,Brussels,10-19,F,1
2020-03-07,Brussels,Brussels,20-29,M,1
2020-03-07,Brussels,Brussels,20-29,F,1
2020-03-07,Brussels,Brussels,50-59,F,2
2020-03-07,Hainaut,Wallonia,40-49,M,1
2020-03-07,Liège,Wallonia,30-39,F,1
2020-03-07,Liège,Wallonia,50-59,M,1
2020-03-07,Liège,Wallonia,60-69,F,2
2020-03-07,Limburg,Flanders,30-39,F,1
2020-03-07,Limburg,Flanders,40-49,F,2
2020-03-07,OostVlaanderen,Flanders,40-49,F,1
2020-03-07,WestVlaanderen,Flanders,10-19,F,1
2020-03-07,WestVlaanderen,Flanders,30-39,M,1
2020-03-07,WestVlaanderen,Flanders,40-49,F,1
2020-03-07,WestVlaanderen,Flanders,50-59,M,1
2020-03-08,,,70-79,M,1
2020-03-08,Antwerpen,Flanders,20-29,F,1
2020-03-08,Antwerpen,Flanders,30-39,F,1
2020-03-08,Antwerpen,Flanders,50-59,M,1
2020-03-08,Antwerpen,Flanders,50-59,F,3
2020-03-08,Antwerpen,Flanders,60-69,M,2
2020-03-08,Antwerpen,Flanders,80-89,M,1
2020-03-08,BrabantWallon,Wallonia,10-19,M,1
2020-03-08,Brussels,Brussels,30-39,M,1
2020-03-08,Brussels,Brussels,40-49,F,1
2020-03-08,Brussels,Brussels,50-59,M,2
2020-03-08,Brussels,Brussels,70-79,M,2
2020-03-08,Brussels,Brussels,90+,M,1
2020-03-08,Hainaut,Wallonia,10-19,F,1
2020-03-08,Hainaut,Wallonia,20-29,F,1
2020-03-08,Hainaut,Wallonia,30-39,F,1
2020-03-08,Hainaut,Wallonia,40-49,F,1
2020-03-08,Liège,Wallonia,20-29,M,1
2020-03-08,Liège,Wallonia,20-29,F,1
2020-03-08,Liège,Wallonia,30-39,M,1
2020-03-08,Liège,Wallonia,40-49,F,1
2020-03-08,Liège,Wallonia,50-59,M,2
2020-03-08,Liège,Wallonia,50-59,F,1
2020-03-08,Liège,Wallonia,60-69,M,3
2020-03-08,Liège,Wallonia,60-69,F,1
2020-03-08,Limburg,Flanders,10-19,F,1
2020-03-08,Limburg,Flanders,20-29,M,1
2020-03-08,Limburg,Flanders,40-49,F,3
2020-03-08,Limburg,Flanders,60-69,F,1
2020-03-08,Limburg,Flanders,70-79,M,1
2020-03-08,Limburg,Flanders,70-79,F,1
2020-03-08,Luxembourg,Wallonia,50-59,M,1
2020-03-08,Namur,Wallonia,10-19,M,1
2020-03-08,Namur,Wallonia,60-69,M,1
2020-03-08,OostVlaanderen,Flanders,20-29,F,1
2020-03-08,OostVlaanderen,Flanders,40-49,M,1
2020-03-08,OostVlaanderen,Flanders,50-59,M,2
2020-03-08,OostVlaanderen,Flanders,50-59,F,1
2020-03-08,VlaamsBrabant,Flanders,10-19,M,1
2020-03-08,VlaamsBrabant,Flanders,30-39,F,2
2020-03-08,VlaamsBrabant,Flanders,40-49,F,2
2020-03-08,VlaamsBrabant,Flanders,50-59,M,1
2020-03-08,WestVlaanderen,Flanders,30-39,M,1
2020-03-08,WestVlaanderen,Flanders,40-49,F,2
2020-03-08,WestVlaanderen,Flanders,50-59,M,2
2020-03-08,WestVlaanderen,Flanders,60-69,M,1
2020-03-08,WestVlaanderen,Flanders,70-79,F,2
2020-03-08,WestVlaanderen,Flanders,80-89,M,1
2020-03-08,WestVlaanderen,Flanders,,,1
2020-03-09,,,40-49,M,1
2020-03-09,,,60-69,M,1
2020-03-09,,,80-89,M,1
2020-03-09,Antwerpen,Flanders,40-49,M,1
2020-03-09,Antwerpen,Flanders,40-49,F,2
2020-03-09,Antwerpen,Flanders,50-59,F,1
2020-03-09,Antwerpen,Flanders,60-69,M,1
2020-03-09,Antwerpen,Flanders,60-69,F,1
2020-03-09,Antwerpen,Flanders,70-79,M,1
2020-03-09,Antwerpen,Flanders,80-89,M,1
2020-03-09,BrabantWallon,Wallonia,20-29,M,2
2020-03-09,BrabantWallon,Wallonia,40-49,M,1
2020-03-09,BrabantWallon,Wallonia,40-49,F,2
2020-03-09,Brussels,Brussels,30-39,F,1
2020-03-09,Brussels,Brussels,40-49,F,2
2020-03-09,Brussels,Brussels,50-59,M,1
2020-03-09,Brussels,Brussels,50-59,F,2
2020-03-09,Brussels,Brussels,60-69,M,2
2020-03-09,Brussels,Brussels,70-79,M,1
2020-03-09,Brussels,Brussels,80-89,M,1
2020-03-09,Brussels,Brussels,80-89,F,1
2020-03-09,Brussels,Brussels,90+,F,1
2020-03-09,Hainaut,Wallonia,0-9,F,1
2020-03-09,Hainaut,Wallonia,10-19,F,1
2020-03-09,Hainaut,Wallonia,20-29,F,1
2020-03-09,Hainaut,Wallonia,30-39,M,3
2020-03-09,Hainaut,Wallonia,40-49,M,1
2020-03-09,Hainaut,Wallonia,40-49,F,2
2020-03-09,Hainaut,Wallonia,50-59,F,2
2020-03-09,Hainaut,Wallonia,60-69,F,1
2020-03-09,Liège,Wallonia,20-29,M,1
2020-03-09,Liège,Wallonia,20-29,F,2
2020-03-09,Liège,Wallonia,40-49,M,7
2020-03-09,Liège,Wallonia,40-49,F,5
2020-03-09,Liège,Wallonia,50-59,M,1
2020-03-09,Liège,Wallonia,50-59,F,2
2020-03-09,Liège,Wallonia,60-69,M,2
2020-03-09,Liège,Wallonia,80-89,F,2
2020-03-09,Limburg,Flanders,0-9,F,1
2020-03-09,Limburg,Flanders,10-19,F,1
2020-03-09,Limburg,Flanders,30-39,M,1
2020-03-09,Limburg,Flanders,40-49,M,1
2020-03-09,Limburg,Flanders,40-49,F,1
2020-03-09,Limburg,Flanders,60-69,M,1
2020-03-09,Namur,Wallonia,40-49,F,1
2020-03-09,Namur,Wallonia,50-59,M,2
2020-03-09,OostVlaanderen,Flanders,20-29,M,1
2020-03-09,OostVlaanderen,Flanders,30-39,M,1
2020-03-09,OostVlaanderen,Flanders,40-49,M,1
2020-03-09,OostVlaanderen,Flanders,40-49,F,1
2020-03-09,OostVlaanderen,Flanders,50-59,M,1
2020-03-09,OostVlaanderen,Flanders,50-59,F,1
2020-03-09,VlaamsBrabant,Flanders,10-19,F,1
2020-03-09,VlaamsBrabant,Flanders,20-29,F,1
2020-03-09,VlaamsBrabant,Flanders,30-39,M,2
2020-03-09,VlaamsBrabant,Flanders,30-39,F,2
2020-03-09,VlaamsBrabant,Flanders,40-49,M,3
2020-03-09,VlaamsBrabant,Flanders,40-49,F,1
2020-03-09,VlaamsBrabant,Flanders,50-59,M,1
2020-03-09,VlaamsBrabant,Flanders,50-59,F,2
2020-03-09,VlaamsBrabant,Flanders,60-69,F,1
2020-03-09,WestVlaanderen,Flanders,10-19,M,1
2020-03-09,WestVlaanderen,Flanders,20-29,M,1
2020-03-09,WestVlaanderen,Flanders,40-49,F,1
2020-03-10,,,40-49,M,2
2020-03-10,,,50-59,M,2
2020-03-10,,,70-79,M,1
2020-03-10,,,80-89,M,2
2020-03-10,Antwerpen,Flanders,20-29,M,1
2020-03-10,Antwerpen,Flanders,30-39,M,1
2020-03-10,Antwerpen,Flanders,40-49,M,3
2020-03-10,Antwerpen,Flanders,40-49,F,1
2020-03-10,Antwerpen,Flanders,50-59,M,4
2020-03-10,Antwerpen,Flanders,50-59,F,1
2020-03-10,Antwerpen,Flanders,60-69,M,1
2020-03-10,Antwerpen,Flanders,70-79,F,2
2020-03-10,BrabantWallon,Wallonia,40-49,F,1
2020-03-10,BrabantWallon,Wallonia,50-59,M,1
2020-03-10,BrabantWallon,Wallonia,50-59,F,1
2020-03-10,Brussels,Brussels,0-9,F,1
2020-03-10,Brussels,Brussels,10-19,M,1
2020-03-10,Brussels,Brussels,20-29,M,1
2020-03-10,Brussels,Brussels,30-39,M,1
2020-03-10,Brussels,Brussels,30-39,F,2
2020-03-10,Brussels,Brussels,40-49,M,1
2020-03-10,Brussels,Brussels,40-49,F,2
2020-03-10,Brussels,Brussels,50-59,M,1
2020-03-10,Brussels,Brussels,70-79,M,2
2020-03-10,Brussels,Brussels,90+,F,1
2020-03-10,Hainaut,Wallonia,40-49,M,1
2020-03-10,Hainaut,Wallonia,40-49,F,1
2020-03-10,Hainaut,Wallonia,50-59,M,3
2020-03-10,Hainaut,Wallonia,70-79,F,2
2020-03-10,Liège,Wallonia,20-29,F,1
2020-03-10,Liège,Wallonia,30-39,F,4
2020-03-10,Liège,Wallonia,40-49,M,1
2020-03-10,Liège,Wallonia,50-59,F,2
2020-03-10,Liège,Wallonia,60-69,F,1
2020-03-10,Liège,Wallonia,70-79,M,1
2020-03-10,Limburg,Flanders,20-29,M,1
2020-03-10,Limburg,Flanders,30-39,F,5
2020-03-10,Limburg,Flanders,40-49,M,1
2020-03-10,Limburg,Flanders,40-49,F,2
2020-03-10,Limburg,Flanders,50-59,M,2
2020-03-10,Limburg,Flanders,50-59,F,1
2020-03-10,Luxembourg,Wallonia,60-69,F,2
2020-03-10,OostVlaanderen,Flanders,10-19,F,1
2020-03-10,OostVlaanderen,Flanders,20-29,M,2
2020-03-10,OostVlaanderen,Flanders,30-39,M,3
2020-03-10,OostVlaanderen,Flanders,30-39,F,2
2020-03-10,OostVlaanderen,Flanders,40-49,M,1
2020-03-10,OostVlaanderen,Flanders,40-49,F,1
2020-03-10,OostVlaanderen,Flanders,50-59,M,3
2020-03-10,OostVlaanderen,Flanders,50-59,F,1
2020-03-10,OostVlaanderen,Flanders,60-69,M,2
2020-03-10,VlaamsBrabant,Flanders,10-19,M,1
2020-03-10,VlaamsBrabant,Flanders,20-29,F,1
2020-03-10,VlaamsBrabant,Flanders,30-39,F,2
2020-03-10,VlaamsBrabant,Flanders,40-49,M,2
2020-03-10,VlaamsBrabant,Flanders,40-49,F,1
2020-03-10,VlaamsBrabant,Flanders,60-69,M,2
2020-03-10,VlaamsBrabant,Flanders,60-69,F,2
2020-03-10,VlaamsBrabant,Flanders,70-79,M,1
2020-03-10,WestVlaanderen,Flanders,10-19,M,2
2020-03-10,WestVlaanderen,Flanders,60-69,F,1
2020-03-11,,,40-49,M,1
2020-03-11,Antwerpen,Flanders,0-9,M,1
2020-03-11,Antwerpen,Flanders,10-19,F,1
2020-03-11,Antwerpen,Flanders,30-39,M,1
2020-03-11,Antwerpen,Flanders,30-39,F,2
2020-03-11,Antwerpen,Flanders,40-49,M,3
2020-03-11,Antwerpen,Flanders,40-49,F,2
2020-03-11,Antwerpen,Flanders,50-59,M,3
2020-03-11,Antwerpen,Flanders,50-59,F,3
2020-03-11,Antwerpen,Flanders,60-69,M,1
2020-03-11,Antwerpen,Flanders,60-69,F,1
2020-03-11,Antwerpen,Flanders,70-79,M,1
2020-03-11,Antwerpen,Flanders,70-79,F,1
2020-03-11,Antwerpen,Flanders,80-89,M,1
2020-03-11,BrabantWallon,Wallonia,30-39,M,1
2020-03-11,BrabantWallon,Wallonia,40-49,M,1
2020-03-11,Brussels,Brussels,10-19,M,1
2020-03-11,Brussels,Brussels,10-19,F,1
2020-03-11,Brussels,Brussels,20-29,F,1
2020-03-11,Brussels,Brussels,30-39,M,2
2020-03-11,Brussels,Brussels,30-39,F,2
2020-03-11,Brussels,Brussels,40-49,M,1
2020-03-11,Brussels,Brussels,50-59,M,1
2020-03-11,Brussels,Brussels,50-59,F,1
2020-03-11,Brussels,Brussels,60-69,F,1
2020-03-11,Brussels,Brussels,70-79,F,1
2020-03-11,Brussels,Brussels,90+,M,2
2020-03-11,Brussels,Brussels,90+,F,3
2020-03-11,Hainaut,Wallonia,10-19,F,1
2020-03-11,Hainaut,Wallonia,20-29,M,1
2020-03-11,Hainaut,Wallonia,20-29,F,1
2020-03-11,Hainaut,Wallonia,40-49,M,2
2020-03-11,Hainaut,Wallonia,40-49,F,1
2020-03-11,Hainaut,Wallonia,50-59,M,2
2020-03-11,Hainaut,Wallonia,50-59,F,3
2020-03-11,Hainaut,Wallonia,60-69,M,1
2020-03-11,Hainaut,Wallonia,80-89,F,1
2020-03-11,Liège,Wallonia,10-19,M,1
2020-03-11,Liège,Wallonia,20-29,M,4
2020-03-11,Liège,Wallonia,20-29,F,1
2020-03-11,Liège,Wallonia,30-39,M,3
2020-03-11,Liège,Wallonia,30-39,F,2
2020-03-11,Liège,Wallonia,40-49,M,3
2020-03-11,Liège,Wallonia,40-49,F,1
2020-03-11,Liège,Wallonia,50-59,F,2
2020-03-11,Liège,Wallonia,60-69,M,2
2020-03-11,Liège,Wallonia,60-69,F,2
2020-03-11,Liège,Wallonia,70-79,M,3
2020-03-11,Liège,Wallonia,80-89,F,1
2020-03-11,Limburg,Flanders,0-9,F,1
2020-03-11,Limburg,Flanders,10-19,F,1
2020-03-11,Limburg,Flanders,30-39,F,3
2020-03-11,Limburg,Flanders,40-49,M,8
2020-03-11,Limburg,Flanders,40-49,F,3
2020-03-11,Limburg,Flanders,50-59,M,1
2020-03-11,Limburg,Flanders,50-59,F,2
2020-03-11,Limburg,Flanders,60-69,M,3
2020-03-11,Luxembourg,Wallonia,30-39,M,1
2020-03-11,Luxembourg,Wallonia,40-49,M,1
2020-03-11,Namur,Wallonia,20-29,M,1
2020-03-11,Namur,Wallonia,30-39,M,1
2020-03-11,Namur,Wallonia,40-49,M,1
2020-03-11,Namur,Wallonia,50-59,F,1
2020-03-11,Namur,Wallonia,90+,M,1
2020-03-11,OostVlaanderen,Flanders,10-19,F,1
2020-03-11,OostVlaanderen,Flanders,20-29,M,1
2020-03-11,OostVlaanderen,Flanders,20-29,F,3
2020-03-11,OostVlaanderen,Flanders,30-39,M,2
2020-03-11,OostVlaanderen,Flanders,30-39,F,3
2020-03-11,OostVlaanderen,Flanders,40-49,M,1
2020-03-11,OostVlaanderen,Flanders,40-49,F,1
2020-03-11,OostVlaanderen,Flanders,50-59,M,6
2020-03-11,OostVlaanderen,Flanders,50-59,F,2
2020-03-11,OostVlaanderen,Flanders,60-69,M,2
2020-03-11,OostVlaanderen,Flanders,80-89,M,1
2020-03-11,OostVlaanderen,Flanders,80-89,F,1
2020-03-11,OostVlaanderen,Flanders,90+,M,1
2020-03-11,VlaamsBrabant,Flanders,0-9,M,1
2020-03-11,VlaamsBrabant,Flanders,10-19,M,2
2020-03-11,VlaamsBrabant,Flanders,20-29,F,2
2020-03-11,VlaamsBrabant,Flanders,30-39,F,2
2020-03-11,VlaamsBrabant,Flanders,40-49,F,2
2020-03-11,VlaamsBrabant,Flanders,50-59,M,3
2020-03-11,VlaamsBrabant,Flanders,50-59,F,1
2020-03-11,VlaamsBrabant,Flanders,60-69,M,2
2020-03-11,VlaamsBrabant,Flanders,70-79,F,1
2020-03-11,VlaamsBrabant,Flanders,80-89,M,1
2020-03-11,VlaamsBrabant,Flanders,80-89,F,4
2020-03-11,VlaamsBrabant,Flanders,90+,M,2
2020-03-11,VlaamsBrabant,Flanders,90+,F,2
2020-03-11,VlaamsBrabant,Flanders,,M,2
2020-03-11,WestVlaanderen,Flanders,0-9,M,1
